family,budget,baseline_url,baseline_upper,baseline_policy,baseline_grad_first,baseline_grad_step10,baseline_grad_max100,warmup_run,warmup_url,warmup_loss,warmup_std,warmup_upper,warmup_policy,warmup_grad_first,warmup_grad_step10,warmup_grad_max100,dead_experts,delta_upper,delta_policy,delta_grad_first,delta_grad_step10,delta_grad_max100
mlp,1e18,https://wandb.ai/maxence-frenette/chess-engine-4/runs/s6qsd9ba,3.758393998149589,0.2851284384435029,22.23503303527832,1.3233777284622192,22.23503303527832,warmup50-mlp-1e18,https://wandb.ai/maxence-frenette/chess-engine-4/runs/onjitoud,3.644337554887451,0.1311568069396131,3.775494361827064,0.2875190884045922,18.748395919799805,2.9013583660125732,18.748395919799805,,0.017100363677474917,0.0023906499610893417,-3.4866371154785156,1.577980637550354,-3.4866371154785156
mlp,1e19,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qs2wwwit,3.4948424739847357,0.34833671167849123,13.501319885253906,3.1492745876312256,13.501319885253906,warmup50-mlp-1e19,https://wandb.ai/maxence-frenette/chess-engine-4/runs/o7hzg3n1,3.4161076329626354,0.08572418784846424,3.5018318208110997,0.34741428830109244,18.168638229370117,5.606297492980957,18.168638229370117,,0.006989346826363985,-0.0009224233773987844,4.667318344116211,2.4570229053497314,4.667318344116211
mlp,1e20,https://wandb.ai/maxence-frenette/chess-engine-4/runs/reaoy7um,3.2517680627220202,0.4043564870136983,20.9515323638916,1.7203162908554077,20.9515323638916,warmup50-mlp-1e20,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lnyqwd6r,3.208013688062404,0.05276057615841808,3.260774264220822,0.4025472327697244,17.25992202758789,6.839935302734375,17.25992202758789,,0.009006201498801936,-0.0018092542439739345,-3.691610336303711,5.119619011878967,-3.691610336303711
mlp_moe16a2,1e18,https://wandb.ai/maxence-frenette/chess-engine-4/runs/qsn9u7gu,3.761654824566194,0.30274843446551297,22.073429107666016,1.012013554573059,22.073429107666016,warmup50-moe16a2-1e18,https://wandb.ai/maxence-frenette/chess-engine-4/runs/451038r5,3.6292344581191225,0.1369518468468246,3.766186304965947,0.3048177818194763,22.38308334350586,7.790785789489746,22.38308334350586,0,0.00453148039975293,0.0020693473539633023,0.30965423583984375,6.778772234916687,0.30965423583984375
mlp_moe16a2,1e19,https://wandb.ai/maxence-frenette/chess-engine-4/runs/a944s3rf,3.4889024857753888,0.35659390405487146,12.9540376663208,2.2630810737609863,12.9540376663208,warmup50-moe16a2-1e19,https://wandb.ai/maxence-frenette/chess-engine-4/runs/utybq0rx,3.40887221798485,0.08258564847457055,3.4914578664594202,0.3557225740547055,8.968890190124512,3.526073694229126,8.968890190124512,0,0.002555380684031494,-0.0008713300001659818,-3.985147476196289,1.2629926204681396,-3.985147476196289
mlp_moe16a2,1e20,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ha5zww3v,3.2193527318940043,0.4216441187643797,25.327377319335938,2.1823580265045166,25.327377319335938,warmup50-moe16a2-1e20,https://wandb.ai/maxence-frenette/chess-engine-4/runs/j2yz03ye,3.1747977042814908,0.049361485209218015,3.2241591894907087,0.4188926966729516,22.46745491027832,4.673397064208984,22.46745491027832,0,0.004806457596704394,-0.0027514220914280907,-2.859922409057617,2.4910390377044678,-2.859922409057617
