budget,run_name,wandb_url,checkpoint_path,shape,d_model,depth,params,batch_size,lr,steps,samples_seen,flops_seen,compute_seen,final_loss,loss,policy_top1,tail_count,runtime_sec
1e14,baseline-root-ckpt-1e14,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ndwnfs7n,/artifacts/checkpoints/baseline-root-ckpt-1e14-final.pt,d32x1,32,1,303206,192,0.001,33463,6424896,12447979004160,100002722109647.23,4.145380020141602,3.8842378568649294,0.23598959058523178,100,388.59342621
1e15,baseline-root-ckpt-1e15,https://wandb.ai/maxence-frenette/chess-engine-4/runs/8t0jrso3,/artifacts/checkpoints/baseline-root-ckpt-1e15-final.pt,d80x3,80,3,955062,512,0.0007071067811865475,39078,20007936,120675985238016,1000016852620080,3.766448974609375,3.6072361159324644,0.3023828125,100,964.442146199
1e16,baseline-root-ckpt-1e16,https://wandb.ai/maxence-frenette/chess-engine-4/runs/con1n4ql,/artifacts/checkpoints/baseline-root-ckpt-1e16-final.pt,d160x6,160,6,3291142,1024,0.0003,54214,55515136,1130269404844032,10000098140605660,3.2845919132232666,3.375380067825317,0.355751953125,100,2446.890764969
