budget,run_name,wandb_url,compute_budget,step_penalty_k,shape,params,batch_size,lr,steps,samples_seen,flops_seen,compute_seen,final_loss,loss,policy_top1,tail_count,runtime_sec
1e14,baseline-1e14-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/dl7xy2lq,1e14,1.2,d48x1,463094,192,0.001,23528,4517376,13356570792960,100002756842630,4.6944580078125,4.795940928459167,0.23625000640749932,100,291.904244462
1e15,baseline-1e15-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/14s9ljb8,1e15,1.2,d64x5,825990,512,0.0007071067811865475,44227,22644224,117724603269120,1000010895480377,4.339613914489746,4.540704984664917,0.29857421875,100,1069.045226766
1e16,baseline-1e16-k1.2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/96u1lzqi,1e16,1.2,d192x4,3506246,1024,0.0003,51279,52509696,1142919216875520,10000079310778892,4.194543838500977,4.2710971975326535,0.35298828125,100,2244.662782581
