budget,run_name,d_model,depth,params,batch_size,lr,computed_steps,samples_seen,flops_seen,final_loss,runtime_sec,wandb_url,state,loss_tail_mean,policy_top1_tail_mean,loss_tail_count,policy_top1_tail_count
1e14,shape4-1e14-d80x2-b512-lr7e-4,80,2,878182,512,0.0007071067811865475,35074,17957888,100000366948352,5.261579513549805,856.069758735,https://wandb.ai/maxence-frenette/chess-engine-4/runs/m4fw8zxi,finished,4.5496664714813235,0.2924609375,100,100
1e14,shape4-1e14-d96x1-b512-lr7e-4,96,1,979622,512,0.0007071067811865475,31322,16036864,100000174780416,4.696300506591797,706.400406832,https://wandb.ai/maxence-frenette/chess-engine-4/runs/n1jrjsxq,finished,4.573467235565186,0.2899609375,100,100
1e14,shape4-1e14-d64x5-b512-lr7e-4,64,5,825990,512,0.0007071067811865475,37569,19235328,100002162032640,4.32465124130249,962.05167082,https://wandb.ai/maxence-frenette/chess-engine-4/runs/q4jwdjdy,finished,4.491282234191894,0.2871875,100,100
1e15,shape4-1e15-d160x4-b1536-lr2e-4,160,4,2676422,1536,0.00021213203435596425,39066,60005376,1000005072427008,4.5598955154418945,2950.538290789,https://wandb.ai/maxence-frenette/chess-engine-4/runs/s0vq6eql,finished,4.293107504844666,0.3384049591422081,100,100
1e15,shape4-1e15-d192x2-b1536-lr2e-4,192,2,2621126,1536,0.00021213203435596425,39583,60799488,1000020858700800,4.06916618347168,3061.884808902,https://wandb.ai/maxence-frenette/chess-engine-4/runs/8qcg45bf,finished,4.294007544517517,0.3404817813634872,100,100
1e15,shape4-1e15-d144x6-b1536-lr2e-4,144,6,2796326,1536,0.00021213203435596425,37569,57705984,1000005693474816,4.094096660614014,3142.371984171,https://wandb.ai/maxence-frenette/chess-engine-4/runs/g4gp4xll,finished,4.322863142490387,0.34194662392139435,100,100
