budget,run_name,wandb_url,d_model,depth,mlp_ratio,batch_size,lr,params,steps,samples_seen,compute,flops_seen,loss,loss_std,loss_upper_1sd,policy_top1,runtime_sec
1e18,mlp-k2-baseline-1e18,https://wandb.ai/maxence-frenette/chess-engine-4/runs/uc82h12d,80,3,4.0,2048,0.0012,954742,8999,18429952,1.0001563320370094e18,1.11140830318592e14,3.65481416716968,0.13077298952883898,3.7855871566985186,0.2895884571325935,461.246225257
1e19,mlp-k2-baseline-1e19,https://wandb.ai/maxence-frenette/chess-engine-4/runs/540uftct,192,4,4.0,4096,0.0004,3505286,10592,43384832,1.0000793379337669e19,9.4418366496768e14,3.451365342430188,0.07384488452823268,3.525210226958421,0.3370018195023429,1029.771960393
