phase,run_name,wandb_url,d_model,depth,batch_size,lr,params,steps,samples_seen,loss,policy_top1,router_loss,eligible,runtime_sec,notes
shape,moe16a2-k2-shape-1e17-d24x1,https://wandb.ai/maxence-frenette/chess-engine-4/runs/zrqvaoex,24,1,384,0.0025,274286,13429,5156736,3.9882886590260105,0.21982491011222569,1.3201003074645996,true,200.825694546,
shape,moe16a2-k2-shape-1e17-d32x1,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ej05xndp,32,1,384,0.0025,389670,11585,4448640,3.9575711765007,0.22281851820790263,2.249234676361084,false,210.191578685,best unconstrained shape but router loss too high
shape,moe16a2-k2-shape-1e17-d40x1,https://wandb.ai/maxence-frenette/chess-engine-4/runs/0nvu9ab4,40,1,384,0.0025,517342,10318,3962112,3.975703562104147,0.22100120193055572,1.3457324504852295,true,153.46071557,
shape,moe16a2-k2-shape-1e17-d32x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/tddeoyqe,32,2,384,0.0025,488486,11359,4361856,3.969814578371003,0.22179744693120423,1.455439805984497,true,213.809800209,best eligible shape
shape,moe16a2-k2-shape-1e17-d40x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/e03yeclv,40,2,384,0.0025,671582,10073,3868032,3.983190033449311,0.21906451394876836,1.413182258605957,true,196.735389123,
shape,moe16a2-k2-shape-1e17-d48x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/sgn3daoh,48,2,384,0.0025,879254,9117,3500928,3.9852424175963423,0.2271621306147373,1.3680046796798706,true,173.537192181,
shape,moe16a2-k2-shape-1e17-d32x3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fwgf9tmf,32,3,384,0.0025,587302,11146,4280064,3.9707584535356464,0.22037729754688756,1.2905054092407229,true,251.788841483,
shape,moe16a2-k2-shape-1e17-d40x3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/z5up0nix,40,3,384,0.0025,825822,9845,3780480,3.9798262590412294,0.2208749835392171,1.7365565299987793,false,300.454398853,
grid,moe16a2-k2-grid-1e17-d32x2-b256-lr2e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6s1hx6k9,32,2,256,0.002,488486,13912,3561472,3.983287427041765,0.21449017402840992,1.5358846187591553,false,337.651043556,
grid,moe16a2-k2-grid-1e17-d32x2-b256-lr2.5e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/gm7y63y0,32,2,256,0.0025,488486,13912,3561472,3.980530086122969,0.21485331538372068,1.4660003185272217,true,266.21281588,
grid,moe16a2-k2-grid-1e17-d32x2-b256-lr3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/yi6ld4hw,32,2,256,0.003,488486,13912,3561472,3.976057868841582,0.21338248422748132,1.922197222709656,false,228.155399653,
grid,moe16a2-k2-grid-1e17-d32x2-b384-lr2e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/2hy96625,32,2,384,0.002,488486,11359,4361856,3.978038327294147,0.2209969161070953,1.3491251468658447,true,216.058895636,
grid,moe16a2-k2-shape-1e17-d32x2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/tddeoyqe,32,2,384,0.0025,488486,11359,4361856,3.969814578371003,0.22179744693120423,1.455439805984497,true,213.809800209,
grid,moe16a2-k2-grid-1e17-d32x2-b384-lr3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/r1gi3600,32,2,384,0.003,488486,11359,4361856,3.9717367429045263,0.22283461545278177,1.7508693933486938,false,250.787441208,
grid,moe16a2-k2-grid-1e17-d32x2-b512-lr2e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lv9t770s,32,2,512,0.002,488486,9837,5036544,3.967265690874891,0.2235394106007712,1.412934184074402,true,245.045318758,
grid,moe16a2-k2-grid-1e17-d32x2-b512-lr2.5e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/b70jfeaw,32,2,512,0.0025,488486,9837,5036544,3.9622420151143527,0.2243391768412114,1.2897934913635254,true,250.685585623,
grid,moe16a2-k2-grid-1e17-d32x2-b512-lr3e-3,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6phz8dux,32,2,512,0.003,488486,9837,5036544,3.961554308985716,0.22683867212567585,1.323333978652954,true,239.678458295,best selected
