name,id,wandb_url,phase,ratio,width,depth,batch_size,steps,lr,recipe_lr,loss,policy_top1,loss_spike_count,runtime_sec,flops,selected
dense-lr32d-r0p2-d64-m050,fcc4abq1,https://wandb.ai/maxence-frenette/chess-engine-4/runs/fcc4abq1,sweep,0.2,64,3,2048,3581,0.0018,0.004,3.991983775223842,0.24503030037676465,0,25.494927421,33741311877120,False
dense-lr32d-r0p2-d64-m070,w64jz0tl,https://wandb.ai/maxence-frenette/chess-engine-4/runs/w64jz0tl,sweep,0.2,64,3,2048,3581,0.00252,0.004,3.973694775601215,0.2470955115705822,0,23.440536303,33741311877120,False
dense-lr32d-r0p2-d64-m100,i3kypse5,https://wandb.ai/maxence-frenette/chess-engine-4/runs/i3kypse5,sweep,0.2,64,3,2048,3581,0.0036,0.004,3.9691022266510623,0.24880912906451869,0,22.859601454,33741311877120,False
dense-lr32d-r0p2-d64-m140,p5t66rx4,https://wandb.ai/maxence-frenette/chess-engine-4/runs/p5t66rx4,sweep,0.2,64,3,2048,3581,0.00504,0.004,3.9670003316589217,0.24885282052355903,0,15.748018461,33741311877120,False
dense-lr32d-r0p2-d64-m200,5k3ttzy5,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5k3ttzy5,sweep,0.2,64,3,2048,3581,0.0072,0.004,3.971230867819905,0.24794105590062915,0,15.116194086,33741311877120,False
dense-lr32d-r0p2-d64-m280,pd0222m4,https://wandb.ai/maxence-frenette/chess-engine-4/runs/pd0222m4,sweep,0.2,64,3,2048,3581,0.01008,0.004,3.9773865111198496,0.24746162295792057,0,22.965517265,33741311877120,False
dense-lr32d-recipe-r0p2-d64,l3lwxdvw,https://wandb.ai/maxence-frenette/chess-engine-4/runs/l3lwxdvw,validation,0.2,64,3,2048,3581,0.004,0.004,3.9647239001527206,0.24976604247661136,0,23.180489872,33741311877120,True
dense-lr32d-r0p2-d128-m035,6ipwsjzb,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6ipwsjzb,sweep,0.2,128,4,4096,4777,0.000805,0.0019,3.6226754367863943,0.30590401222336044,0,20.767941938,237715269738496,False
dense-lr32d-r0p2-d128-m050,x8xk6wj9,https://wandb.ai/maxence-frenette/chess-engine-4/runs/x8xk6wj9,sweep,0.2,128,4,4096,4777,0.00115,0.0019,3.600797910944846,0.31068421380311717,0,20.117298446,237715269738496,True
dense-lr32d-r0p2-d128-m070,rwntnmds,https://wandb.ai/maxence-frenette/chess-engine-4/runs/rwntnmds,sweep,0.2,128,4,4096,4777,0.00161,0.0019,3.616661519192798,0.3074973323399636,0,33.730604491,237715269738496,False
dense-lr32d-r0p2-d128-m100,ofwx1cwq,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ofwx1cwq,sweep,0.2,128,4,4096,4777,0.0023,0.0019,3.6279224004787114,0.3065971819621929,0,31.301001097,237715269738496,False
dense-lr32d-recipe-r0p2-d128,oap3agte,https://wandb.ai/maxence-frenette/chess-engine-4/runs/oap3agte,validation,0.2,128,4,4096,4777,0.0019,0.0019,3.607715803229079,0.3085404960877543,0,33.917491351,237715269738496,False
dense-lr32d-r0p2-d256-m035,cdffoi3y,https://wandb.ai/maxence-frenette/chess-engine-4/runs/cdffoi3y,sweep,0.2,256,5,8192,7655,0.00049,0.00082,3.326284028366093,0.3715946869292411,0,114.007684071,2411526396313600,False
dense-lr32d-r0p2-d256-m050,6f8geq1i,https://wandb.ai/maxence-frenette/chess-engine-4/runs/6f8geq1i,sweep,0.2,256,5,8192,7655,0.0006999999999999999,0.00082,3.3097670518882207,0.3754846889048324,0,84.674923673,2411526396313600,False
dense-lr32d-r0p2-d256-m070,sy58ts2i,https://wandb.ai/maxence-frenette/chess-engine-4/runs/sy58ts2i,sweep,0.2,256,5,8192,7655,0.00098,0.00082,3.310203008918838,0.3748317561257865,0,99.856659245,2411526396313600,False
dense-lr32d-r0p2-d256-m100,ki977sie,https://wandb.ai/maxence-frenette/chess-engine-4/runs/ki977sie,sweep,0.2,256,5,8192,7655,0.0013999999999999998,0.00082,3.334237079473817,0.3700001349157516,0,90.815676058,2411526396313600,False
dense-lr32d-recipe-r0p2-d256,tlkib3fr,https://wandb.ai/maxence-frenette/chess-engine-4/runs/tlkib3fr,validation,0.2,256,5,8192,7655,0.00096,0.00082,3.30578255726161,0.3745033533327211,0,85.161845457,2411526396313600,True
dense-lr32d-r0p1-d32-m050,l94d8rdy,https://wandb.ai/maxence-frenette/chess-engine-4/runs/l94d8rdy,sweep,0.1,32,2,1024,1555,0.0032,0.011,5.09974657874183,0.15245143129464653,0,8.282932662,3195795793920,False
dense-lr32d-r0p1-d32-m070,9c3gt5fr,https://wandb.ai/maxence-frenette/chess-engine-4/runs/9c3gt5fr,sweep,0.1,32,2,1024,1555,0.0044800000000000005,0.011,5.043744742240775,0.1537013034119901,0,8.044986423,3195795793920,False
dense-lr32d-r0p1-d32-m100,t85l3h22,https://wandb.ai/maxence-frenette/chess-engine-4/runs/t85l3h22,sweep,0.1,32,2,1024,1555,0.0064,0.011,5.013158953631574,0.1535772138528774,0,13.182565867,3195795793920,False
dense-lr32d-r0p1-d32-m140,1flpdbsb,https://wandb.ai/maxence-frenette/chess-engine-4/runs/1flpdbsb,sweep,0.1,32,2,1024,1555,0.008960000000000001,0.011,5.006546887326873,0.15113043240562798,0,7.379760526,3195795793920,False
dense-lr32d-r0p1-d32-m200,p6vw7h74,https://wandb.ai/maxence-frenette/chess-engine-4/runs/p6vw7h74,sweep,0.1,32,2,1024,1555,0.0128,0.011,4.991196713363709,0.15154006484556565,0,13.675940906,3195795793920,False
dense-lr32d-r0p1-d32-m280,418gqsdy,https://wandb.ai/maxence-frenette/chess-engine-4/runs/418gqsdy,sweep,0.1,32,2,1024,1555,0.017920000000000002,0.011,4.983552026653555,0.150702436839359,0,6.567622858,3195795793920,True
dense-lr32d-r0p1-d32-m400,w5qgmszh,https://wandb.ai/maxence-frenette/chess-engine-4/runs/w5qgmszh,sweep,0.1,32,2,1024,1555,0.0256,0.011,4.987103584358361,0.15026217229482677,0,7.767011565,3195795793920,False
dense-lr32d-recipe-r0p1-d32,3ni1clo9,https://wandb.ai/maxence-frenette/chess-engine-4/runs/3ni1clo9,validation,0.1,32,2,1024,1555,0.015,0.011,4.988235878986888,0.1518055731419465,0,13.999954302,3195795793920,False
dense-lr32d-r0p1-d64-m050,01aql709,https://wandb.ai/maxence-frenette/chess-engine-4/runs/01aql709,sweep,0.1,64,3,2048,1791,0.0022,0.0062,4.796556704593212,0.18335317220095423,0,15.252606568,16875367096320,False
dense-lr32d-r0p1-d64-m070,zvszv8nj,https://wandb.ai/maxence-frenette/chess-engine-4/runs/zvszv8nj,sweep,0.1,64,3,2048,1791,0.00308,0.0062,4.748906288114179,0.18625289416773552,0,7.91166821,16875367096320,False
dense-lr32d-r0p1-d64-m100,g08f92m4,https://wandb.ai/maxence-frenette/chess-engine-4/runs/g08f92m4,sweep,0.1,64,3,2048,1791,0.0044,0.0062,4.717362149161435,0.18800783249089575,0,14.61555311,16875367096320,False
dense-lr32d-r0p1-d64-m140,q80z89uf,https://wandb.ai/maxence-frenette/chess-engine-4/runs/q80z89uf,sweep,0.1,64,3,2048,1791,0.00616,0.0062,4.705596903219057,0.18747563670535708,0,15.101931275,16875367096320,False
dense-lr32d-r0p1-d64-m200,amf11yb7,https://wandb.ai/maxence-frenette/chess-engine-4/runs/amf11yb7,sweep,0.1,64,3,2048,1791,0.0088,0.0062,4.699050405502729,0.18705868163031733,0,16.497668634,16875367096320,True
dense-lr32d-r0p1-d64-m280,evjcw0yl,https://wandb.ai/maxence-frenette/chess-engine-4/runs/evjcw0yl,sweep,0.1,64,3,2048,1791,0.01232,0.0062,4.699488451144184,0.18651084223359635,0,13.127704617,16875367096320,False
dense-lr32d-r0p1-d64-m400,vyjmfsr0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vyjmfsr0,sweep,0.1,64,3,2048,1791,0.0176,0.0062,4.718832411032091,0.18154805350424985,0,16.584767094,16875367096320,False
dense-lr32d-recipe-r0p1-d64,1z3zm71q,https://wandb.ai/maxence-frenette/chess-engine-4/runs/1z3zm71q,validation,0.1,64,3,2048,1791,0.0052,0.0062,4.710618665317712,0.1875324681487729,0,25.556631076,16875367096320,False
dense-lr32d-r0p1-d128-m050,lfr3rpqt,https://wandb.ai/maxence-frenette/chess-engine-4/runs/lfr3rpqt,sweep,0.1,128,4,4096,2388,0.0013999999999999998,0.003,4.2115069550919815,0.2468280604999764,0,20.443557708,118832753639424,False
dense-lr32d-r0p1-d128-m070,f6z8w9e2,https://wandb.ai/maxence-frenette/chess-engine-4/runs/f6z8w9e2,sweep,0.1,128,4,4096,2388,0.00196,0.003,4.148238274266154,0.2502710778804848,0,17.161759938,118832753639424,True
dense-lr32d-r0p1-d128-m100,82ssprhz,https://wandb.ai/maxence-frenette/chess-engine-4/runs/82ssprhz,sweep,0.1,128,4,4096,2388,0.0027999999999999995,0.003,4.163556933026417,0.250676094069314,0,21.203276003,118832753639424,False
dense-lr32d-recipe-r0p1-d128,vodxei00,https://wandb.ai/maxence-frenette/chess-engine-4/runs/vodxei00,validation,0.1,128,4,4096,2388,0.0022,0.003,4.165894274607931,0.2500237516493306,0,22.21523836,118832753639424,False
dense-lr32d-r0p1-d256-m035,jotge8jw,https://wandb.ai/maxence-frenette/chess-engine-4/runs/jotge8jw,sweep,0.1,256,5,8192,3827,0.0005949999999999999,0.0013,3.600254925647058,0.3255459434914734,0,52.039143949,1205605685002240,False
dense-lr32d-r0p1-d256-m050,5kwovqd0,https://wandb.ai/maxence-frenette/chess-engine-4/runs/5kwovqd0,sweep,0.1,256,5,8192,3827,0.00085,0.0013,3.572377951815158,0.3300335900829766,0,46.117353174,1205605685002240,False
dense-lr32d-r0p1-d256-m070,r4752540,https://wandb.ai/maxence-frenette/chess-engine-4/runs/r4752540,sweep,0.1,256,5,8192,3827,0.0011899999999999999,0.0013,3.5727250607893044,0.32860221800853434,0,62.294102808,1205605685002240,False
dense-lr32d-r0p1-d256-m100,1v7mzlkf,https://wandb.ai/maxence-frenette/chess-engine-4/runs/1v7mzlkf,sweep,0.1,256,5,8192,3827,0.0017,0.0013,3.596638030694623,0.3201727387018962,0,53.679369763,1205605685002240,False
dense-lr32d-recipe-r0p1-d256,55gubwxk,https://wandb.ai/maxence-frenette/chess-engine-4/runs/55gubwxk,validation,0.1,256,5,8192,3827,0.001,0.0013,3.5635561991483637,0.33056720951692353,0,68.520821891,1205605685002240,True
